!  word OK
#  word OK
#>  word OK
#S  word OK
'  word OK
(  word OK
*  word OK
*/  word OK
*/MOD  word OK
+  word OK
+!  word OK
+LOOP  word OK
,  word OK
-  word OK
.  word OK
."  word OK
/  word OK
/MOD  word OK
0<  word OK
0=  word OK
1+  word OK
1-  word OK
2!  word OK
2*  word OK
2/  word OK
2@  word OK
2DROP  word OK
2DUP  word OK
2OVER  word OK
2SWAP  word OK
:  word OK
;  word OK
<  word OK
<#  word OK
=  word OK
>  word OK
>BODY  word OK
>IN  word OK
>NUMBER  word OK
>R  word OK
?DUP  word OK
@  word OK
ABORT  word OK
ABORT"  word OK
ABS  word OK
ACCEPT  word OK
ALIGN  word OK
ALIGNED  word OK
ALLOT  word OK
AND  word OK
BASE  word OK
BEGIN  word OK
BL  word OK
C!  word OK
C,  word OK
C@  word OK
CELL+  word OK
CELLS  word OK
CHAR  word OK
CHAR+  word OK
CHARS  word OK
CONSTANT  word OK
COUNT  word OK
CR  word OK
CREATE  word OK
DECIMAL  word OK
DEPTH  word OK
DO  word OK
DOES>  word OK
DROP  word OK
DUP  word OK
ELSE  word OK
EMIT  word OK
ENVIRONMENT?  word OK
EVALUATE  word OK
EXECUTE  word OK
EXIT  word OK
FILL  word OK
FIND  word OK
FM/MOD  word OK
HERE  word OK
HOLD  word OK
I  word OK
IF  word OK
IMMEDIATE  word OK
INVERT  word OK
J  word OK
KEY  word OK
LEAVE  word OK
LITERAL  word OK
LOOP  word OK
LSHIFT  word OK
M*  word OK
MAX  word OK
MIN  word OK
MOD  word OK
MOVE  word OK
NEGATE  word OK
OR  word OK
OVER  word OK
POSTPONE  word OK
QUIT  word OK
R>  word OK
R@  word OK
RECURSE  word OK
REPEAT  word OK
ROT  word OK
RSHIFT  word OK
S"  word OK
S>D  word OK
SIGN  word OK
SM/REM  word OK
SOURCE  word OK
SPACE  word OK
SPACES  word OK
STATE  word OK
SWAP  word OK
THEN  word OK
TYPE  word OK
U.  word OK
U<  word OK
UM*  word OK
UM/MOD  word OK
UNLOOP  word OK
UNTIL  word OK
VARIABLE  word OK
WHILE  word OK
WORD  word OK
XOR  word OK
[  word OK
[']  word OK
[CHAR]  word OK
]  word OK
  core words total 133   core words missing 0 
.(  word OK
.R  word OK
0<>  word OK
0>  word OK
2>R  word OK
2R>  word OK
2R@  word OK
:NONAME  word OK
<>  word OK
?DO  word OK
ACTION-OF  word OK
AGAIN  word OK
BUFFER:  word OK
C"  word OK
CASE  word OK
COMPILE,  word OK
DEFER  word OK
DEFER!  word OK
DEFER@  word OK
ENDCASE  word OK
ENDOF  word OK
ERASE  word OK
FALSE  word OK
HEX  word OK
HOLDS  word OK
IS  word OK
MARKER  word OK
NIP  word OK
OF  word OK
PAD  word OK
PARSE  word OK
PARSE-NAME  word OK
PICK  word OK
REFILL  word OK
RESTORE-INPUT  word OK
ROLL  word OK
S\"  word OK
SAVE-INPUT  word OK
SOURCE-ID  word OK
TO  word OK
TRUE  word OK
TUCK  word OK
U.R  word OK
U>  word OK
UNUSED  word OK
VALUE  word OK
WITHIN  word OK
[COMPILE]  word missing
\  word OK
  coreext words total 49   coreext words missing 1 
ABORT  word OK
ABORT"  word OK
CATCH  word OK
THROW  word OK
  exceptions words total 4   exceptions words missing 0 
DFALIGN  word OK
DFALIGNED  word OK
DFFIELD:  word OK
DF@  word OK
DFLOAT+  word OK
DFLOATS  word OK
DF!  word OK
D>F  word OK
FABS  word OK
FACOS  word OK
FACOSH  word OK
FALIGN  word OK
FALIGNED  word OK
FALOG  word OK
FASIN  word OK
FASINH  word OK
FATAN  word OK
FATANH  word OK
FATAN2  word OK
FCONSTANT  word OK
FCOS  word OK
FCOSH  word OK
FDEPTH  word OK
FDROP  word OK
FDUP  word OK
F/  word OK
FEXP  word OK
FEXPM1  word OK
FE.  word OK
FFIELD:  word OK
F@  word OK
FLITERAL  word OK
FLN  word OK
FLNP1  word OK
FLOAT+  word OK
FLOATS  word OK
FLOG  word OK
FLOOR  word OK
FMAX  word OK
FMIN  word OK
F-  word OK
FNEGATE  word OK
FOVER  word OK
F+  word OK
FROT  word OK
FROUND  word OK
FSIN  word OK
FSINCOS  word OK
FSINH  word OK
FSQRT  word OK
FSWAP  word OK
FS.  word OK
F!  word OK
FTAN  word OK
FTANH  word OK
FTRUNC  word OK
F*  word OK
F**  word OK
FVALUE  word OK
FVARIABLE  word OK
F0=  word OK
F0<  word OK
F.  word OK
F<  word OK
F~  word OK
F>D  word OK
F>S  word OK
PRECISION  word OK
REPRESENT  word OK
SET-PRECISION  word OK
SFALIGN  word OK
SFALIGNED  word OK
SFFIELD:  word OK
SF@  word OK
SFLOAT+  word OK
SFLOATS  word OK
SF!  word OK
S>F  word OK
>FLOAT  word OK
  float words total 79   float words missing 0 
AHEAD  word OK
ASSEMBLER  word OK
BYE  word OK
[DEFINED]  word OK
[ELSE]  word OK
[IF]  word OK
[THEN]  word OK
[UNDEFINED]  word OK
CODE  word missing
CS-PICK  word OK
CS-ROLL  word OK
DUMP  word OK
.S  word OK
EDITOR  word OK
FORGET  word missing
NAME>COMPILE  word OK
NAME>INTERPRET  word OK
NAME>STRING  word OK
NR>  word OK
N>R  word OK
SEE  word OK
STATE  word OK
